Year,Rape,DV,AoW,AoM,DD,K&A,WT,Actual/Forecasted
2001,15694.0,49032.0,33622.0,9656.0,6738.0,13681.0,114,Actual
2002,15970.0,49102.0,33497.0,10027.0,6687.0,13613.0,76,Actual
2003,15357.0,49492.0,32450.0,12220.0,6078.0,12499.0,46,Actual
2004,17682.0,56867.0,33966.0,9871.0,6900.0,14697.0,89,Actual
2005,17701.0,56995.0,33413.0,9759.0,6673.0,14644.0,148,Actual
2006,18725.0,61400.0,35899.0,9822.0,7481.0,16348.0,67,Actual
2007,20139.0,74143.0,37866.0,10783.0,7955.0,19249.0,61,Actual
2008,21001.0,79957.0,39802.0,12084.0,8043.0,21803.0,67,Actual
2009,20928.0,88263.0,38159.0,10891.0,8242.0,24086.0,48,Actual
2010,21665.0,92637.0,40012.0,9881.0,8248.0,28055.0,36,Actual
2011,24206.0,99135.0,0.0,8570.0,8618.0,35565.0,2435,Actual
2012,24923.0,106527.0,45344.0,9173.0,8233.0,38262.0,2563,Actual
2013,33707.0,118866.0,70739.0,12589.0,8083.0,51881.0,2579,Actual
2014,36735.0,122877.0,82235.0,21938.0,10050.0,57311.0,2070,Actual
2015,34651.0,113403.0,82422.0,24041.0,7634.0,59277.0,2424,Actual
2016,38947.0,110378.0,84746.0,27344.0,7621.0,64519.0,2214,Actual
2017,32559.0,104551.0,86001.0,7451.0,7466.0,66333.0,1536,Actual
2018,33356.0,103272.0,89097.0,6992.0,7166.0,72751.0,1459,Actual
2019,32033.0,125298.0,88367.0,6939.0,7115.0,72780.0,1185,Actual
2020,28046.0,111549.0,85392.0,7065.0,6966.0,62300.0,868,Actual
2021,31677.0,136234.0,89200.0,7788.0,6753.0,75369.0,1071,Actual
2022,32809.1,143375.7,31666.34,10586.22,6974.61,82081.57,1071,Forecasted
2023,33981.66,150891.8,31666.34,12770.68,7121.757,89391.98,1071,Forecasted
2024,35196.13,158802.0,31666.34,13737.96,7218.55,97353.46,1071,Forecasted
2025,36453.99,167126.8,31666.34,12724.97,7281.835,106024.0,1071,Forecasted
2026,37756.82,175888.0,31666.34,11246.67,7323.049,115466.8,1071,Forecasted
2027,39106.2,185108.4,31666.34,10127.94,7349.822,125750.5,1071,Forecasted
2028,40503.8,194812.3,31666.34,9789.431,7367.185,136950.1,1071,Forecasted
2029,41951.35,205024.8,31666.34,10076.12,7378.434,149147.2,1071,Forecasted
2030,43450.64,215772.7,31666.34,10696.66,7385.717,162430.6,1071,Forecasted
2031,45003.5,227084.0,31666.34,11250.49,7390.429,176897.0,1071,Forecasted
